                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.99526,                0.49862,                0.96283,                0.84919,                0.71938,                0.78799,                0.49189,                  1.222,                0.55772,                 1.0447,               0.003367,               0.003367,               0.003367
                    136,                0.98916,                0.49383,                0.95926,                0.84876,                0.71952,                0.78835,                0.49265,                 1.2218,                0.55747,                 1.0448,              0.0033175,              0.0033175,              0.0033175
                    137,                0.98552,                0.49387,                0.95725,                0.84903,                 0.7193,                0.78839,                0.49261,                 1.2217,                0.55751,                 1.0446,               0.003268,               0.003268,               0.003268
                    138,                 0.9859,                0.49143,                0.95924,                0.84997,                  0.719,                0.78774,                0.49279,                 1.2214,                0.55728,                 1.0446,              0.0032185,              0.0032185,              0.0032185
                    139,                0.97853,                0.49042,                0.95561,                 0.8489,                0.71987,                0.78795,                0.49277,                 1.2212,                0.55701,                 1.0445,               0.003169,               0.003169,               0.003169
                    140,                0.97695,                0.49072,                  0.954,                0.84754,                0.72087,                0.78891,                0.49278,                 1.2209,                0.55701,                 1.0445,              0.0031195,              0.0031195,              0.0031195
                    141,                0.97571,                0.48885,                 0.9511,                0.84717,                0.72137,                0.78922,                0.49333,                 1.2207,                0.55711,                 1.0445,                0.00307,                0.00307,                0.00307
                    142,                0.97027,                0.48614,                0.95514,                0.85106,                0.71974,                0.78903,                0.49308,                 1.2205,                0.55692,                 1.0444,              0.0030205,              0.0030205,              0.0030205
                    143,                0.96624,                0.48384,                0.95174,                0.85006,                0.72173,                0.78928,                0.49366,                 1.2204,                0.55691,                 1.0444,               0.002971,               0.002971,               0.002971
                    144,                0.96584,                0.48438,                0.95275,                0.84789,                0.72209,                 0.7888,                0.49334,                 1.2202,                0.55664,                 1.0444,              0.0029215,              0.0029215,              0.0029215
                    145,                0.96886,                0.48091,                0.95177,                0.84758,                0.72168,                0.78893,                0.49375,                   1.22,                0.55659,                 1.0444,               0.002872,               0.002872,               0.002872
                    146,                0.96706,                0.48166,                0.95114,                0.84689,                0.72071,                0.78864,                0.49411,                 1.2198,                0.55634,                 1.0443,              0.0028225,              0.0028225,              0.0028225
                    147,                0.95715,                0.47741,                0.94556,                0.84772,                0.72092,                0.78888,                0.49393,                 1.2196,                0.55619,                 1.0443,               0.002773,               0.002773,               0.002773
